ID,Coordinates
P34800_58450,POINT (-58.45000076293945 -34.79999923706055)
P34800_58425,POINT (-58.42499923706055 -34.79999923706055)
P34800_58400,POINT (-58.400001525878906 -34.79999923706055)
P34800_58375,POINT (-58.375 -34.79999923706055)
P34800_58350,POINT (-58.349998474121094 -34.79999923706055)
P34800_58325,POINT (-58.32500076293945 -34.79999923706055)
P34800_58300,POINT (-58.29999923706055 -34.79999923706055)
P34800_58275,POINT (-58.275001525878906 -34.79999923706055)
P34800_58250,POINT (-58.25 -34.79999923706055)
P34800_58225,POINT (-58.224998474121094 -34.79999923706055)
P34800_58200,POINT (-58.20000076293945 -34.79999923706055)
P34800_58175,POINT (-58.17499923706055 -34.79999923706055)
P34775_58500,POINT (-58.5 -34.775001525878906)
P34775_58475,POINT (-58.474998474121094 -34.775001525878906)
P34775_58450,POINT (-58.45000076293945 -34.775001525878906)
P34775_58425,POINT (-58.42499923706055 -34.775001525878906)
P34775_58400,POINT (-58.400001525878906 -34.775001525878906)
P34775_58375,POINT (-58.375 -34.775001525878906)
P34775_58350,POINT (-58.349998474121094 -34.775001525878906)
P34775_58325,POINT (-58.32500076293945 -34.775001525878906)
P34775_58300,POINT (-58.29999923706055 -34.775001525878906)
P34775_58275,POINT (-58.275001525878906 -34.775001525878906)
P34775_58250,POINT (-58.25 -34.775001525878906)
P34775_58225,POINT (-58.224998474121094 -34.775001525878906)
P34775_58200,POINT (-58.20000076293945 -34.775001525878906)
P34775_58175,POINT (-58.17499923706055 -34.775001525878906)
P34750_58500,POINT (-58.5 -34.75)
P34750_58475,POINT (-58.474998474121094 -34.75)
P34750_58450,POINT (-58.45000076293945 -34.75)
P34750_58425,POINT (-58.42499923706055 -34.75)
P34750_58400,POINT (-58.400001525878906 -34.75)
P34750_58375,POINT (-58.375 -34.75)
P34750_58350,POINT (-58.349998474121094 -34.75)
P34750_58325,POINT (-58.32500076293945 -34.75)
P34750_58300,POINT (-58.29999923706055 -34.75)
P34750_58275,POINT (-58.275001525878906 -34.75)
P34750_58250,POINT (-58.25 -34.75)
P34750_58225,POINT (-58.224998474121094 -34.75)
P34750_58200,POINT (-58.20000076293945 -34.75)
P34750_58175,POINT (-58.17499923706055 -34.75)
P34725_58500,POINT (-58.5 -34.724998474121094)
P34725_58475,POINT (-58.474998474121094 -34.724998474121094)
P34725_58450,POINT (-58.45000076293945 -34.724998474121094)
P34725_58425,POINT (-58.42499923706055 -34.724998474121094)
P34725_58400,POINT (-58.400001525878906 -34.724998474121094)
P34725_58375,POINT (-58.375 -34.724998474121094)
P34725_58350,POINT (-58.349998474121094 -34.724998474121094)
P34725_58325,POINT (-58.32500076293945 -34.724998474121094)
P34725_58300,POINT (-58.29999923706055 -34.724998474121094)
P34725_58275,POINT (-58.275001525878906 -34.724998474121094)
P34725_58250,POINT (-58.25 -34.724998474121094)
P34725_58225,POINT (-58.224998474121094 -34.724998474121094)
P34725_58200,POINT (-58.20000076293945 -34.724998474121094)
P34725_58175,POINT (-58.17499923706055 -34.724998474121094)
P34700_58500,POINT (-58.5 -34.70000076293945)
P34700_58475,POINT (-58.474998474121094 -34.70000076293945)
P34700_58450,POINT (-58.45000076293945 -34.70000076293945)
P34700_58425,POINT (-58.42499923706055 -34.70000076293945)
P34700_58400,POINT (-58.400001525878906 -34.70000076293945)
P34700_58375,POINT (-58.375 -34.70000076293945)
P34700_58350,POINT (-58.349998474121094 -34.70000076293945)
P34700_58325,POINT (-58.32500076293945 -34.70000076293945)
P34700_58300,POINT (-58.29999923706055 -34.70000076293945)
P34700_58275,POINT (-58.275001525878906 -34.70000076293945)
P34700_58250,POINT (-58.25 -34.70000076293945)
P34700_58225,POINT (-58.224998474121094 -34.70000076293945)
P34700_58200,POINT (-58.20000076293945 -34.70000076293945)
P34700_58175,POINT (-58.17499923706055 -34.70000076293945)
P34675_58500,POINT (-58.5 -34.67499923706055)
P34675_58475,POINT (-58.474998474121094 -34.67499923706055)
P34675_58450,POINT (-58.45000076293945 -34.67499923706055)
P34675_58425,POINT (-58.42499923706055 -34.67499923706055)
P34675_58400,POINT (-58.400001525878906 -34.67499923706055)
P34675_58375,POINT (-58.375 -34.67499923706055)
P34675_58350,POINT (-58.349998474121094 -34.67499923706055)
P34675_58325,POINT (-58.32500076293945 -34.67499923706055)
P34675_58300,POINT (-58.29999923706055 -34.67499923706055)
P34675_58275,POINT (-58.275001525878906 -34.67499923706055)
P34675_58250,POINT (-58.25 -34.67499923706055)
P34675_58225,POINT (-58.224998474121094 -34.67499923706055)
P34675_58200,POINT (-58.20000076293945 -34.67499923706055)
P34675_58175,POINT (-58.17499923706055 -34.67499923706055)
P34650_58500,POINT (-58.5 -34.650001525878906)
